;first;recent;second;third
2002:Q4;0,744;0,253;1,437;1,382
2003:Q1;1,598;2,09;1,892;1,428
2003:Q2;2,37;3,763;3,114;3,281
2003:Q3;7,155;6,87;7,155;8,203
2003:Q4;4,024;4,758;4,106;4,142
2004:Q1;4,158;2,32;4,446;3,905
2004:Q2;3,044;2,963;2,792;3,301
2004:Q3;3,711;3,686;3,952;4,001
2004:Q4;3,147;3,504;3,811;3,848
2005:Q1;3,088;4,332;3,483;3,759
2005:Q2;3,414;2,105;3,287;3,310
2005:Q3;3,805;3,404;4,284;4,143
2005:Q4;1,119;2,304;1,627;1,653
2006:Q1;4,818;4,893;5,309;5,638
2006:Q2;2,458;1,202;2,901;2,559
2006:Q3;1,583;0,357;2,210;1,960
2006:Q4;3,473;3,168;2,220;2,452
2007:Q1;1,26;0,248;0,651;0,690
2007:Q2;3,382;3,097;3,955;3,821
2007:Q3;3,896;2,718;4,922;4,907
2007:Q4;0,636;1,435;0,626;0,578
2008:Q1;0,597;-2,702;0,901;0,959
2008:Q2;1,889;2;3,278;2,825
2008:Q3;-0,252;-1,906;-0,514;-0,511
2008:Q4;-3,804;-8,186;-6,248;-6,342
2009:Q1;-6,144;-5,429;-5,719;-5,493
2009:Q2;-1,017;-0,539;-1,014;-0,738
2009:Q3;3,534;1,313;2,782;2,235
2009:Q4;5,731;3,928;5,927;5,554
2010:Q1;3,239;1,741;3,036;2,738
2010:Q2;2,387;3,921;1,614;1,719
2010:Q3;2,01;2,729;2,525;2,559
2010:Q4;3,173;2,543;2,788;3,114
2011:Q1;1,748;-1,536;1,842;1,915
2011:Q2;1,282;2,943;0,989;1,334
2011:Q3;2,464;0,843;2,004;1,815
2011:Q4;2,752;4,582;2,982;2,955
2012:Q1;2,204;2,678;1,860;1,872
2012:Q2;1,537;1,881;1,732;1,253
2012:Q3;2,014;0,48;2,672;3,106
2012:Q4;-0,144;0,091;0,126;0,379
2013:Q1;2,502;2,827;2,386;1,777
2013:Q2;1,674;0,769;2,516;2,482
2013:Q3;2,846;3,121;3,601;4,134
2013:Q4;3,228;3,96;2,385;2,627
2014:Q1;0,108;-1,183;-0,985;-2,930
2014:Q2;3,948;3,964;4,172;4,592
2014:Q3;3,549;4,963;3,896;4,967
2014:Q4;2,642;2,311;2,192;2,217
2015:Q1;0,248;2,049;-0,749;-0,172
2015:Q2;2,322;2,612;3,685;3,921
2015:Q3;1,492;1,986;2,078;1,984
2015:Q4;0,691;0,873;1,005;1,387
